,ARS,BL_name,ADE2,ADE3,ADE4,ADE5,ADE6,EF5_Verbandsbezeichnung,GEM_TYPE,ADE2_LAND,ADE2_LAND,ADE3_REG_BEZ,ADE3_REG_BEZ,ADE4_KREIS,ADE4_KREIS,ADE5_VERB_GEM,ADE5_VERB_GEM,ADE6_GEMEINDE,ADE6_GEMEINDE,EF1_Satzart,Fläche in ha,Fläche in ha,Fläche in ha,"Bevölkerung, insgesamt","Bevölkerung, insgesamt","Bevölkerung, insgesamt","Bevölkerung, männlich","Bevölkerung, männlich","Bevölkerung, männlich",Neue Postleitzahl,Neue Postleitzahl,Finanzamtsbezirk,Finanzamtsbezirk,Gerichtsbarkeit,Gerichtsbarkeit,Arbeitsagenturbezirk,Arbeitsagenturbezirk,Bundestagswahlkreise,Bundestagswahlkreise
,,,,,,,,,,mean,count,mean,count,mean,count,mean,count,mean,count,count,sum,median,mean,sum,median,mean,sum,median,mean,nunique,unique,nunique,unique,nunique,unique,nunique,unique,nunique,unique
17,010515163089,Schleswig-Holstein,01,0,51,5163,089,Quickborn,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5163.0,1,89.0,1,1,695,695.0,695.0,178,178.0,178.0,85,85.0,85.0,1,['25712     '],1,[2123],1,[13191],1,[27050],1,[3]
18,010515163097,Schleswig-Holstein,01,0,51,5163,097,Sankt Michaelisdonn,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5163.0,1,97.0,1,1,2306,2306.0,2306.0,3533,3533.0,3533.0,1746,1746.0,1746.0,1,['25693     '],1,[2123],1,[13191],1,[27050],1,[3]
19,010515163110,Schleswig-Holstein,01,0,51,5163,110,Süderhastedt,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5163.0,1,110.0,1,1,1574,1574.0,1574.0,793,793.0,793.0,384,384.0,384.0,1,['25727     '],1,[2123],1,[13191],1,[27050],1,[3]
20,010515166021,Schleswig-Holstein,01,0,51,5166,021,Diekhusen-Fahrstedt,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5166.0,1,21.0,1,1,746,746.0,746.0,711,711.0,711.0,344,344.0,344.0,1,['25709     '],1,[2123],1,[13191],1,[27050],1,[3]
21,010515166034,Schleswig-Holstein,01,0,51,5166,034,Friedrichskoog,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5166.0,1,34.0,1,1,5327,5327.0,5327.0,2523,2523.0,2523.0,1269,1269.0,1269.0,1,['25718     '],1,[2123],1,[13191],1,[27050],1,[3]
22,010515166046,Schleswig-Holstein,01,0,51,5166,046,Helse,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5166.0,1,46.0,1,1,1144,1144.0,1144.0,848,848.0,848.0,427,427.0,427.0,1,['25709     '],1,[2123],1,[13191],1,[27050],1,[3]
23,010515166057,Schleswig-Holstein,01,0,51,5166,057,Kaiser-Wilhelm-Koog,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5166.0,1,57.0,1,1,1305,1305.0,1305.0,370,370.0,370.0,194,194.0,194.0,1,['25709     '],1,[2123],1,[13191],1,[27050],1,[3]
24,010515166062,Schleswig-Holstein,01,0,51,5166,062,Kronprinzenkoog,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5166.0,1,62.0,1,1,2884,2884.0,2884.0,873,873.0,873.0,438,438.0,438.0,1,['25709     '],1,[2123],1,[13191],1,[27050],1,[3]
25,010515166072,Schleswig-Holstein,01,0,51,5166,072,"Marne, Stadt",Stadt,1.0,1,0.0,1,51.0,1,5166.0,1,72.0,1,1,483,483.0,483.0,5979,5979.0,5979.0,2849,2849.0,2849.0,1,['25709     '],1,[2123],1,[13191],1,[27050],1,[3]
26,010515166073,Schleswig-Holstein,01,0,51,5166,073,Marnerdeich,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5166.0,1,73.0,1,1,131,131.0,131.0,403,403.0,403.0,209,209.0,209.0,1,['25709     '],1,[2123],1,[13191],1,[27050],1,[3]
27,010515166076,Schleswig-Holstein,01,0,51,5166,076,Neufeld,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5166.0,1,76.0,1,1,1040,1040.0,1040.0,617,617.0,617.0,308,308.0,308.0,1,['25724     '],1,[2123],1,[13191],1,[27050],1,[3]
28,010515166077,Schleswig-Holstein,01,0,51,5166,077,Neufelderkoog,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5166.0,1,77.0,1,1,977,977.0,977.0,113,113.0,113.0,62,62.0,62.0,1,['25724     '],1,[2123],1,[13191],1,[27050],1,[3]
29,010515166090,Schleswig-Holstein,01,0,51,5166,090,Ramhusen,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5166.0,1,90.0,1,1,480,480.0,480.0,173,173.0,173.0,86,86.0,86.0,1,['25715     '],1,[2123],1,[13191],1,[27050],1,[3]
30,010515166103,Schleswig-Holstein,01,0,51,5166,103,Schmedeswurth,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5166.0,1,103.0,1,1,591,591.0,591.0,191,191.0,191.0,93,93.0,93.0,1,['25724     '],1,[2123],1,[13191],1,[27050],1,[3]
31,010515166118,Schleswig-Holstein,01,0,51,5166,118,Trennewurth,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5166.0,1,118.0,1,1,779,779.0,779.0,238,238.0,238.0,125,125.0,125.0,1,['25693     '],1,[2123],1,[13191],1,[27050],1,[3]
32,010515166119,Schleswig-Holstein,01,0,51,5166,119,Volsemenhusen,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5166.0,1,119.0,1,1,1678,1678.0,1678.0,352,352.0,352.0,189,189.0,189.0,1,['25693     '],1,[2123],1,[13191],1,[27050],1,[3]
33,010515169005,Schleswig-Holstein,01,0,51,5169,005,Barkenholm,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,5.0,1,1,511,511.0,511.0,168,168.0,168.0,93,93.0,93.0,1,['25791     '],1,[2116],1,[13191],1,[27010],1,[2]
34,010515169008,Schleswig-Holstein,01,0,51,5169,008,Bergewöhrden,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,8.0,1,1,264,264.0,264.0,36,36.0,36.0,18,18.0,18.0,1,['25779     '],1,[2116],1,[13191],1,[27010],1,[2]
35,010515169019,Schleswig-Holstein,01,0,51,5169,019,Dellstedt,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,19.0,1,1,2177,2177.0,2177.0,714,714.0,714.0,370,370.0,370.0,1,['25786     '],1,[2116],1,[13191],1,[27010],1,[2]
36,010515169020,Schleswig-Holstein,01,0,51,5169,020,Delve,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,20.0,1,1,1584,1584.0,1584.0,767,767.0,767.0,394,394.0,394.0,1,['25788     '],1,[2116],1,[13191],1,[27010],1,[2]
37,010515169023,Schleswig-Holstein,01,0,51,5169,023,Dörpling,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,23.0,1,1,782,782.0,782.0,659,659.0,659.0,326,326.0,326.0,1,['25794     '],1,[2116],1,[13191],1,[27010],1,[2]
38,010515169030,Schleswig-Holstein,01,0,51,5169,030,Fedderingen,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,30.0,1,1,969,969.0,969.0,275,275.0,275.0,142,142.0,142.0,1,['25779     '],1,[2116],1,[13191],1,[27010],1,[2]
39,010515169035,Schleswig-Holstein,01,0,51,5169,035,Gaushorn,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,35.0,1,1,645,645.0,645.0,171,171.0,171.0,88,88.0,88.0,1,['25782     '],1,[2116],1,[13191],1,[27010],1,[2]
40,010515169036,Schleswig-Holstein,01,0,51,5169,036,Glüsing,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,36.0,1,1,469,469.0,469.0,109,109.0,109.0,57,57.0,57.0,1,['25779     '],1,[2116],1,[13191],1,[27010],1,[2]
41,010515169038,Schleswig-Holstein,01,0,51,5169,038,Groven,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,38.0,1,1,790,790.0,790.0,80,80.0,80.0,44,44.0,44.0,1,['25774     '],1,[2116],1,[13191],1,[27010],1,[2]
42,010515169047,Schleswig-Holstein,01,0,51,5169,047,Hemme,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,47.0,1,1,1653,1653.0,1653.0,496,496.0,496.0,253,253.0,253.0,1,['25774     '],1,[2116],1,[13191],1,[27010],1,[2]
43,010515169049,Schleswig-Holstein,01,0,51,5169,049,Hennstedt,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,49.0,1,1,2193,2193.0,2193.0,2055,2055.0,2055.0,1035,1035.0,1035.0,1,['25779     '],1,[2116],1,[13191],1,[27010],1,[2]
44,010515169052,Schleswig-Holstein,01,0,51,5169,052,Hövede,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,52.0,1,1,294,294.0,294.0,57,57.0,57.0,26,26.0,26.0,1,['25782     '],1,[2116],1,[13191],1,[27010],1,[2]
45,010515169053,Schleswig-Holstein,01,0,51,5169,053,Hollingstedt,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,53.0,1,1,974,974.0,974.0,314,314.0,314.0,160,160.0,160.0,1,['25788     '],1,[2116],1,[13191],1,[27010],1,[2]
46,010515169058,Schleswig-Holstein,01,0,51,5169,058,Karolinenkoog,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,58.0,1,1,1755,1755.0,1755.0,143,143.0,143.0,76,76.0,76.0,1,['25774     '],1,[2116],1,[13191],1,[27010],1,[2]
47,010515169060,Schleswig-Holstein,01,0,51,5169,060,Kleve,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,60.0,1,1,1281,1281.0,1281.0,408,408.0,408.0,207,207.0,207.0,1,['25779*****'],1,[2116],1,[13191],1,[27010],1,[2]
48,010515169061,Schleswig-Holstein,01,0,51,5169,061,Krempel,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,61.0,1,1,482,482.0,482.0,614,614.0,614.0,315,315.0,315.0,1,['25774     '],1,[2116],1,[13191],1,[27010],1,[2]
49,010515169065,Schleswig-Holstein,01,0,51,5169,065,Lehe,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,65.0,1,1,1863,1863.0,1863.0,1063,1063.0,1063.0,520,520.0,520.0,1,['25774*****'],1,[2116],1,[13191],1,[27010],1,[2]
50,010515169068,Schleswig-Holstein,01,0,51,5169,068,Linden,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,68.0,1,1,1162,1162.0,1162.0,855,855.0,855.0,429,429.0,429.0,1,['25791     '],1,[2116],1,[13191],1,[27010],1,[2]
51,010515169071,Schleswig-Holstein,01,0,51,5169,071,Lunden,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,71.0,1,1,465,465.0,465.0,1693,1693.0,1693.0,851,851.0,851.0,1,['25774     '],1,[2116],1,[13191],1,[27010],1,[2]
52,010515169080,Schleswig-Holstein,01,0,51,5169,080,Norderheistedt,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,80.0,1,1,433,433.0,433.0,121,121.0,121.0,62,62.0,62.0,1,['25779     '],1,[2116],1,[13191],1,[27010],1,[2]
53,010515169088,Schleswig-Holstein,01,0,51,5169,088,Pahlen,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,88.0,1,1,1080,1080.0,1080.0,1160,1160.0,1160.0,583,583.0,583.0,1,['25794     '],1,[2116],1,[13191],1,[27010],1,[2]
54,010515169092,Schleswig-Holstein,01,0,51,5169,092,Rehm-Flehde-Bargen,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,92.0,1,1,1463,1463.0,1463.0,550,550.0,550.0,276,276.0,276.0,1,['25776     '],1,[2116],1,[13191],1,[27010],1,[2]
55,010515169096,Schleswig-Holstein,01,0,51,5169,096,Sankt Annen,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,96.0,1,1,1489,1489.0,1489.0,312,312.0,312.0,167,167.0,167.0,1,['25776     '],1,[2116],1,[13191],1,[27010],1,[2]
56,010515169100,Schleswig-Holstein,01,0,51,5169,100,Schalkholz,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,100.0,1,1,1252,1252.0,1252.0,570,570.0,570.0,278,278.0,278.0,1,['25782     '],1,[2116],1,[13191],1,[27010],1,[2]
57,010515169102,Schleswig-Holstein,01,0,51,5169,102,Schlichting,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,102.0,1,1,1250,1250.0,1250.0,241,241.0,241.0,122,122.0,122.0,1,['25779     '],1,[2116],1,[13191],1,[27010],1,[2]
58,010515169114,Schleswig-Holstein,01,0,51,5169,114,Tellingstedt,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,114.0,1,1,2110,2110.0,2110.0,2720,2720.0,2720.0,1304,1304.0,1304.0,1,['25782     '],1,[2116],1,[13191],1,[27010],1,[2]
59,010515169117,Schleswig-Holstein,01,0,51,5169,117,Tielenhemme,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,117.0,1,1,1268,1268.0,1268.0,171,171.0,171.0,79,79.0,79.0,1,['25794     '],1,[2116],1,[13191],1,[27010],1,[2]
60,010515169120,Schleswig-Holstein,01,0,51,5169,120,Wallen,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,120.0,1,1,186,186.0,186.0,30,30.0,30.0,14,14.0,14.0,1,['25788     '],1,[2116],1,[13191],1,[27010],1,[2]
61,010515169125,Schleswig-Holstein,01,0,51,5169,125,Welmbüttel,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,125.0,1,1,760,760.0,760.0,390,390.0,390.0,185,185.0,185.0,1,['25782     '],1,[2116],1,[13191],1,[27010],1,[2]
62,010515169131,Schleswig-Holstein,01,0,51,5169,131,Westerborstel,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,131.0,1,1,414,414.0,414.0,110,110.0,110.0,49,49.0,49.0,1,['25782     '],1,[2116],1,[13191],1,[27010],1,[2]
63,010515169133,Schleswig-Holstein,01,0,51,5169,133,Wiemerstedt,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,133.0,1,1,508,508.0,508.0,152,152.0,152.0,83,83.0,83.0,1,['25779     '],1,[2116],1,[13191],1,[27010],1,[2]
64,010515169136,Schleswig-Holstein,01,0,51,5169,136,Wrohm,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,136.0,1,1,1145,1145.0,1145.0,724,724.0,724.0,364,364.0,364.0,1,['25799     '],1,[2116],1,[13191],1,[27010],1,[2]
65,010515169139,Schleswig-Holstein,01,0,51,5169,139,Süderdorf,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,139.0,1,1,1621,1621.0,1621.0,363,363.0,363.0,186,186.0,186.0,1,['25782     '],1,[2116],1,[13191],1,[27010],1,[2]
66,010515169141,Schleswig-Holstein,01,0,51,5169,141,Süderheistedt,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5169.0,1,141.0,1,1,844,844.0,844.0,518,518.0,518.0,261,261.0,261.0,1,['25779     '],1,[2116],1,[13191],1,[27010],1,[2]
67,010515172048,Schleswig-Holstein,01,0,51,5172,048,Hemmingstedt,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5172.0,1,48.0,1,1,1601,1601.0,1601.0,2843,2843.0,2843.0,1407,1407.0,1407.0,1,['25770     '],1,[2123],1,[13191],1,[27010],1,[2]
68,010515172067,Schleswig-Holstein,01,0,51,5172,067,Lieth,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5172.0,1,67.0,1,1,466,466.0,466.0,367,367.0,367.0,161,161.0,161.0,1,['25770     '],1,[2123],1,[13191],1,[27010],1,[2]
69,010515172069,Schleswig-Holstein,01,0,51,5172,069,Lohe-Rickelshof,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5172.0,1,69.0,1,1,539,539.0,539.0,2066,2066.0,2066.0,981,981.0,981.0,1,['25746     '],1,[2123],1,[13191],1,[27010],1,[2]
70,010515172075,Schleswig-Holstein,01,0,51,5172,075,Neuenkirchen,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5172.0,1,75.0,1,1,2514,2514.0,2514.0,1013,1013.0,1013.0,538,538.0,538.0,1,['25792*****'],1,[2116],1,[13191],1,[27010],1,[2]
71,010515172081,Schleswig-Holstein,01,0,51,5172,081,Norderwöhrden,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5172.0,1,81.0,1,1,1847,1847.0,1847.0,251,251.0,251.0,139,139.0,139.0,1,['25746     '],1,[2116],1,[13191],1,[27010],1,[2]
72,010515172082,Schleswig-Holstein,01,0,51,5172,082,Nordhastedt,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5172.0,1,82.0,1,1,2656,2656.0,2656.0,2837,2837.0,2837.0,1400,1400.0,1400.0,1,['25785     '],1,[2123],1,[13191],1,[27010],1,[2]
73,010515172087,Schleswig-Holstein,01,0,51,5172,087,Ostrohe,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5172.0,1,87.0,1,1,666,666.0,666.0,902,902.0,902.0,452,452.0,452.0,1,['25746     '],1,[2116],1,[13191],1,[27010],1,[2]
74,010515172107,Schleswig-Holstein,01,0,51,5172,107,Stelle-Wittenwurth,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5172.0,1,107.0,1,1,1071,1071.0,1071.0,469,469.0,469.0,227,227.0,227.0,1,['25795     '],1,[2116],1,[13191],1,[27010],1,[2]
75,010515172113,Schleswig-Holstein,01,0,51,5172,113,Wöhrden,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5172.0,1,113.0,1,1,2177,2177.0,2177.0,1306,1306.0,1306.0,647,647.0,647.0,1,['25797     '],1,[2123],1,[13191],1,[27010],1,[2]
76,010515172122,Schleswig-Holstein,01,0,51,5172,122,Weddingstedt,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5172.0,1,122.0,1,1,1789,1789.0,1789.0,2339,2339.0,2339.0,1142,1142.0,1142.0,1,['25795     '],1,[2116],1,[13191],1,[27010],1,[2]
77,010515172130,Schleswig-Holstein,01,0,51,5172,130,Wesseln,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5172.0,1,130.0,1,1,376,376.0,376.0,1433,1433.0,1433.0,722,722.0,722.0,1,['25746     '],1,[2116],1,[13191],1,[27010],1,[2]
78,010515175001,Schleswig-Holstein,01,0,51,5175,001,Albersdorf,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5175.0,1,1.0,1,1,1712,1712.0,1712.0,3847,3847.0,3847.0,1855,1855.0,1855.0,1,['25767     '],1,[2123],1,[13191],1,[27010],1,[3]
79,010515175002,Schleswig-Holstein,01,0,51,5175,002,Arkebek,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5175.0,1,2.0,1,1,692,692.0,692.0,229,229.0,229.0,125,125.0,125.0,1,['25767     '],1,[2123],1,[13191],1,[27010],1,[3]
80,010515175004,Schleswig-Holstein,01,0,51,5175,004,Bargenstedt,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5175.0,1,4.0,1,1,1190,1190.0,1190.0,981,981.0,981.0,477,477.0,477.0,1,['25704     '],1,[2123],1,[13191],1,[27130],1,[3]
81,010515175006,Schleswig-Holstein,01,0,51,5175,006,Barlt,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5175.0,1,6.0,1,1,2288,2288.0,2288.0,764,764.0,764.0,382,382.0,382.0,1,['25719     '],1,[2123],1,[13191],1,[27130],1,[3]
82,010515175015,Schleswig-Holstein,01,0,51,5175,015,Bunsoh,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5175.0,1,15.0,1,1,1175,1175.0,1175.0,764,764.0,764.0,380,380.0,380.0,1,['25767     '],1,[2123],1,[13191],1,[27010],1,[3]
83,010515175017,Schleswig-Holstein,01,0,51,5175,017,Busenwurth,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5175.0,1,17.0,1,1,1009,1009.0,1009.0,317,317.0,317.0,154,154.0,154.0,1,['25719     '],1,[2123],1,[13191],1,[27130],1,[3]
84,010515175027,Schleswig-Holstein,01,0,51,5175,027,Elpersbüttel,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5175.0,1,27.0,1,1,3017,3017.0,3017.0,885,885.0,885.0,452,452.0,452.0,1,['25704     '],1,[2123],1,[13191],1,[27130],1,[3]
85,010515175028,Schleswig-Holstein,01,0,51,5175,028,Epenwöhrden,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5175.0,1,28.0,1,1,1352,1352.0,1352.0,781,781.0,781.0,385,385.0,385.0,1,['25704     '],1,[2123],1,[13191],1,[27130],1,[3]
