Tabelle: 1000A-0001
Personen: Bevölkerungszahl und Fläche (Gemeinden);;;;;
Bevölkerung kompakt (Gebietsstand 15.05.2022);;;;;;;;
;;;Personen;;Fläche;;Bevölkerungsdichte;
;;;Anzahl;Anzahl;qkm;qkm;Ew/qkm;Ew/qkm
;059700008008;Burbach (Kreis Siegen-Wittgenstein);14572;e;79,72;e;183;e
;059700012012;Erndtebrück;6799;e;70,98;e;96;e
;059700016016;Freudenberg, Stadt (Kreis Siegen-Wittgenstein);17475;e;54,60;e;320;e
;059700020020;Hilchenbach, Stadt;14488;e;81,12;e;179;e
;059700024024;Kreuztal, Stadt;30609;e;71,07;e;431;e
;059700028028;Bad Laasphe, Stadt;13101;e;135,95;e;96;e
;059700032032;Netphen, Stadt;23005;e;137,39;e;167;e
;059700036036;Neunkirchen (Kreis Siegen-Wittgenstein);12949;e;39,81;e;325;e
;059700040040;Siegen, Universitätsstadt;102275;e;114,69;e;892;e
;059700044044;Wilnsdorf;20115;e;72,04;e;279;e
;059740004004;Anröchte;10237;e;73,79;e;139;e
;059740008008;Bad Sassendorf;12110;e;63,46;e;191;e
;059740012012;Ense;12191;e;51,08;e;239;e
;059740016016;Erwitte, Stadt;16066;e;89,41;e;180;e
;059740020020;Geseke, Stadt;20835;e;97,89;e;213;e
;059740024024;Lippetal;11840;e;126,61;e;94;e
;059740028028;Lippstadt, Stadt;68100;e;113,68;e;599;e
;059740032032;Möhnesee;11537;e;123,49;e;93;e
;059740036036;Rüthen, Stadt;10100;e;158,15;e;64;e
;059740040040;Soest, Stadt;46453;e;85,81;e;541;e
;059740044044;Warstein, Stadt;25162;e;158,05;e;159;e
;059740048048;Welver;11927;e;85,62;e;139;e
;059740052052;Werl, Stadt;29984;e;76,35;e;393;e
;059740056056;Wickede (Ruhr);11525;e;25,24;e;457;e
;059780004004;Bergkamen, Stadt;48518;e;44,90;e;1081;e
;059780008008;Bönen;18097;e;38,04;e;476;e
;059780012012;Fröndenberg/Ruhr, Stadt;20668;e;56,23;e;368;e
;059780016016;Holzwickede;17272;e;22,36;e;772;e
;059780020020;Kamen, Stadt;42205;e;40,95;e;1031;e
;059780024024;Lünen, Stadt;85234;e;59,39;e;1435;e
;059780028028;Schwerte, Hansestadt an der Ruhr;45954;e;56,23;e;817;e
;059780032032;Selm, Stadt;25701;e;60,41;e;425;e
;059780036036;Unna, Stadt;59515;e;88,56;e;672;e
;059780040040;Werne, Stadt;30229;e;76,14;e;397;e
;064110000000;Darmstadt, Wissenschaftsstadt;161767;e;122,07;e;1325;e
;064120000000;Frankfurt am Main, Stadt;743268;e;248,31;e;2993;e
;064130000000;Offenbach am Main, Stadt;129479;e;44,88;e;2885;e
;064140000000;Wiesbaden, Landeshauptstadt;284260;e;203,87;e;1394;e
;064310001001;Abtsteinach;2421;e;11,02;e;220;e
;064310002002;Bensheim, Stadt;40993;e;57,83;e;709;e
;064310003003;Biblis;8998;e;40,47;e;222;e
;064310004004;Birkenau;9489;e;24,54;e;387;e
;064310005005;Bürstadt, Stadt;17308;e;34,46;e;502;e
;064310006006;Einhausen (Landkreis Bergstraße);6385;e;26,67;e;239;e
;064310007007;Fürth (Landkreis Bergstraße);10843;e;38,41;e;282;e
;064310008008;Gorxheimertal;4146;e;10,45;e;397;e
;064310009009;Grasellenbach;4010;e;22,88;e;175;e
;064310010010;Groß-Rohrheim;3645;e;19,56;e;186;e
;064310011011;Heppenheim (Bergstraße), Kreisstadt;26912;e;52,12;e;516;e
;064310012012;Hirschhorn (Neckar), Stadt;3435;e;30,85;e;111;e
;064310013013;Lampertheim, Stadt;32058;e;72,27;e;444;e
;064310014014;Lautertal (Odenwald);6993;e;30,75;e;227;e
;064310015015;Lindenfels, Stadt;5009;e;21,09;e;238;e
;064310016016;Lorsch, Karolingerstadt;14291;e;25,24;e;566;e
;064310017017;Mörlenbach;10300;e;27,22;e;378;e
;064310018018;Neckarsteinach, Stadt;3785;e;17,24;e;220;e
;064310019019;Rimbach (Landkreis Bergstraße);8642;e;23,16;e;373;e
;064310020020;Viernheim, Stadt;34252;e;48,41;e;708;e
;064310021021;Wald-Michelbach;10505;e;74,31;e;141;e
;064310022022;Zwingenberg, Stadt;7197;e;5,66;e;1272;e
;064320001001;Alsbach-Hähnlein;9195;e;15,77;e;583;e
;064320002002;Babenhausen, Stadt;16957;e;66,85;e;254;e
;064320003003;Bickenbach (Landkreis Darmstadt-Dieburg);5964;e;9,26;e;644;e
;064320004004;Dieburg, Stadt;15694;e;23,08;e;680;e
;064320005005;Eppertshausen;6360;e;13,11;e;485;e
;064320006006;Erzhausen;7866;e;7,40;e;1063;e
;064320007007;Fischbachtal;2674;e;13,27;e;202;e
;064320008008;Griesheim, Stadt;28578;e;21,55;e;1326;e
;064320009009;Groß-Bieberau, Stadt;4704;e;18,27;e;257;e
;064320010010;Groß-Umstadt, Stadt;21244;e;86,84;e;245;e
;064320011011;Groß-Zimmern;14497;e;21,26;e;682;e
;064320012012;Messel;4120;e;14,82;e;278;e
;064320013013;Modautal;5212;e;31,79;e;164;e
;064320014014;Mühltal;14071;e;25,34;e;555;e
;064320015015;Münster (Landkreis Darmstadt-Dieburg);14772;e;20,78;e;711;e
;064320016016;Ober-Ramstadt, Stadt;14940;e;41,88;e;357;e
;064320017017;Otzberg;6428;e;41,94;e;153;e
;064320018018;Pfungstadt, Stadt;25474;e;42,54;e;599;e
;064320019019;Reinheim, Stadt;16365;e;27,70;e;591;e
;064320020020;Roßdorf (Landkreis Darmstadt-Dieburg);12918;e;20,60;e;627;e
;064320021021;Schaafheim;9157;e;32,16;e;285;e
;064320022022;Seeheim-Jugenheim;16361;e;28,00;e;584;e
;064320023023;Weiterstadt, Stadt;26311;e;34,40;e;765;e
;064330001001;Biebesheim am Rhein;6280;e;18,68;e;336;e
;064330002002;Bischofsheim;12484;e;9,03;e;1383;e
;064330003003;Büttelborn;14573;e;30,01;e;486;e
;064330004004;Gernsheim, Schöfferstadt;10400;e;40,11;e;259;e
;064330005005;Ginsheim-Gustavsburg, Stadt;16322;e;13,94;e;1171;e
;064330006006;Groß-Gerau, Stadt;24887;e;54,47;e;457;e
;064330007007;Kelsterbach, Stadt;15811;e;15,41;e;1026;e
;064330008008;Mörfelden-Walldorf, Stadt;31804;e;44,13;e;721;e
;064330009009;Nauheim;10443;e;13,77;e;758;e
;064330010010;Raunheim, Stadt;14908;e;12,60;e;1183;e
;064330011011;Riedstadt, Büchnerstadt;22927;e;73,73;e;311;e
;064330012012;Rüsselsheim am Main, Stadt;64517;e;58,29;e;1107;e
;064330013013;Stockstadt am Rhein;6027;e;18,73;e;322;e
;064330014014;Trebur;12971;e;50,13;e;259;e
;064340001001;Bad Homburg v. d. Höhe, Stadt;54795;e;51,14;e;1071;e
;064340002002;Friedrichsdorf, Stadt;25585;e;30,13;e;849;e
;064340003003;Glashütten (Landkreis Hochtaunuskreis);5395;e;27,10;e;199;e
;064340004004;Grävenwiesbach;5321;e;43,15;e;123;e
;064340005005;Königstein im Taunus, Stadt;16782;e;25,05;e;670;e
;064340006006;Kronberg im Taunus, Stadt;18454;e;18,58;e;993;e
;064340007007;Neu-Anspach, Stadt;14567;e;36,12;e;403;e
;064340008008;Oberursel (Taunus), Stadt;46218;e;45,34;e;1019;e
;064340009009;Schmitten im Taunus;9425;e;35,51;e;265;e
;064340010010;Steinbach (Taunus), Stadt;10714;e;4,40;e;2435;e
;064340011011;Usingen, Stadt;15227;e;55,81;e;273;e
;064340012012;Wehrheim;9336;e;38,34;e;244;e
;064340013013;Weilrod;6785;e;71,17;e;95;e
;064350001001;Bad Orb, Stadt;9724;e;47,75;e;204;e
;064350002002;Bad Soden-Salmünster, Stadt;13364;e;58,59;e;228;e
;064350003003;Biebergemünd;8277;e;78,45;e;106;e
;064350004004;Birstein;6102;e;86,61;e;70;e
;064350005005;Brachttal;4849;e;30,84;e;157;e
;064350006006;Bruchköbel, Stadt;20335;e;29,69;e;685;e
;064350007007;Erlensee, Stadt;15333;e;18,58;e;825;e
;064350008008;Flörsbachtal;2278;e;52,11;e;44;e
;064350009009;Freigericht;14078;e;33,47;e;421;e
;064350010010;Gelnhausen, Barbarossast., Krst.;22868;e;45,15;e;506;e
;064350011011;Großkrotzenburg;7297;e;7,47;e;977;e
;064350012012;Gründau;14356;e;67,60;e;212;e
;064350013013;Hammersbach;4801;e;20,14;e;238;e
;064350014014;Hanau, Brüder-Grimm-Stadt;93632;e;76,47;e;1224;e
;064350015015;Hasselroth;7231;e;18,93;e;382;e
;064350016016;Jossgrund;3372;e;50,69;e;67;e
;064350017017;Langenselbold, Stadt;14297;e;26,23;e;545;e
;064350018018;Linsengericht;9588;e;29,80;e;322;e
;064350019019;Maintal, Stadt;38712;e;32,41;e;1194;e
;064350020020;Neuberg;5167;e;10,55;e;490;e
;064350021021;Nidderau, Stadt;20055;e;46,73;e;429;e
;064350022022;Niederdorfelden;3765;e;6,52;e;577;e
;064350023023;Rodenbach (Landkreis Main-Kinzig-Kreis);10834;e;16,74;e;647;e
;064350024024;Ronneburg;3463;e;14,25;e;243;e
;064350025025;Schlüchtern, Stadt;15577;e;113,30;e;137;e
;064350026026;Schöneck;11577;e;21,50;e;538;e
;064350027027;Sinntal;8646;e;111,82;e;77;e
;064350028028;Steinau an der Straße, Brüder-Grimm-Stadt;10031;e;104,86;e;96;e
;064350029029;Wächtersbach, Stadt;12485;e;50,79;e;246;e
;064360001001;Bad Soden am Taunus, Stadt;23242;e;12,50;e;1859;e
;064360002002;Eppstein, Stadt;13314;e;24,19;e;550;e
;064360003003;Eschborn, Stadt;21663;e;12,13;e;1786;e
;064360004004;Flörsheim am Main, Stadt;21383;e;22,99;e;930;e
;064360005005;Hattersheim am Main, Stadt;28016;e;15,80;e;1773;e
;064360006006;Hochheim am Main, Stadt;18148;e;19,47;e;932;e
;064360007007;Hofheim am Taunus, Kreisstadt;39004;e;57,43;e;679;e
;064360008008;Kelkheim (Taunus), Stadt;28392;e;30,73;e;924;e
;064360009009;Kriftel;11137;e;6,76;e;1647;e
;064360010010;Liederbach am Taunus;8545;e;6,20;e;1378;e
;064360011011;Schwalbach am Taunus, Stadt;15359;e;6,47;e;2374;e
;064360012012;Sulzbach (Taunus);8847;e;7,85;e;1127;e
;064370001001;Bad König, Stadt;9536;e;46,73;e;204;e
;064370003003;Brensbach;4893;e;23,18;e;211;e
;064370004004;Breuberg, Stadt;7236;e;30,76;e;235;e
;064370005005;Brombachtal;3385;e;20,44;e;166;e
;064370006006;Erbach, Kreisstadt;14013;e;61,52;e;228;e
;064370007007;Fränkisch-Crumbach;3050;e;16,12;e;189;e
;064370009009;Höchst i. Odw.;9758;e;30,51;e;320;e
;064370010010;Lützelbach;6700;e;35,44;e;189;e
;064370011011;Michelstadt, Stadt;15688;e;86,98;e;180;e
;064370012012;Mossautal;2398;e;48,49;e;49;e
;064370013013;Reichelsheim (Odenwald);8225;e;58,21;e;141;e
;064370016016;Oberzent, Stadt;9694;e;165,61;e;59;e
;064380001001;Dietzenbach, Kreisstadt;35183;e;21,68;e;1623;e
;064380002002;Dreieich, Stadt;41535;e;53,27;e;780;e
;064380003003;Egelsbach;10910;e;14,81;e;737;e
;064380004004;Hainburg;14326;e;15,94;e;899;e
;064380005005;Heusenstamm, Stadt;19034;e;19,03;e;1000;e
;064380006006;Langen (Hessen), Stadt;37169;e;29,12;e;1276;e
;064380007007;Mainhausen;9626;e;17,92;e;537;e
;064380008008;Mühlheim am Main, Stadt;28607;e;20,67;e;1384;e
;064380009009;Neu-Isenburg, Stadt;36531;e;24,29;e;1504;e
;064380010010;Obertshausen, Stadt;24789;e;13,62;e;1820;e
;064380011011;Rodgau, Stadt;44501;e;65,04;e;684;e
;064380012012;Rödermark, Stadt;28645;e;29,99;e;955;e
;064380013013;Seligenstadt, Einhardstadt;20850;e;30,85;e;676;e
;064390001001;Aarbergen;6225;e;33,97;e;183;e
;064390002002;Bad Schwalbach, Kreisstadt;11318;e;40,27;e;281;e
;064390003003;Eltville am Rhein, Stadt;17187;e;46,77;e;367;e
;064390004004;Geisenheim, Hochschulstadt;11262;e;40,34;e;279;e
;064390005005;Heidenrod;7430;e;95,93;e;77;e
;064390006006;Hohenstein (Landkreis Rheingau-Taunus-Kreis);5887;e;63,86;e;92;e
;064390007007;Hünstetten;10514;e;50,58;e;208;e
;064390008008;Idstein, Hochschulstadt;25621;e;79,76;e;321;e
;064390009009;Kiedrich;3858;e;12,34;e;313;e
;064390010010;Lorch, Stadt (Landkreis Rheingau-Taunus-Kreis);3857;e;54,43;e;71;e
;064390011011;Niedernhausen;14410;e;35,29;e;408;e
;064390012012;Oestrich-Winkel, Stadt;11460;e;59,51;e;193;e
;064390013013;Rüdesheim am Rhein, Stadt;9699;e;51,41;e;189;e
;064390014014;Schlangenbad;6126;e;36,51;e;168;e
;064390015015;Taunusstein, Stadt;30016;e;67,02;e;448;e
;064390016016;Waldems;5186;e;36,68;e;141;e
;064390017017;Walluf;5252;e;6,75;e;778;e
;064400001001;Altenstadt (Landkreis Wetteraukreis);12565;e;30,09;e;418;e
;064400002002;Bad Nauheim, Stadt;32162;e;32,54;e;988;e
;064400003003;Bad Vilbel, Stadt;34955;e;25,68;e;1361;e
;064400004004;Büdingen, Stadt;22343;e;122,88;e;182;e
;064400005005;Butzbach, Friedrich-Ludwig-Weidig-Stadt;26529;e;106,60;e;249;e
;064400006006;Echzell;5482;e;37,65;e;146;e
;064400007007;Florstadt, Stadt;9009;e;39,60;e;228;e
;064400008008;Friedberg (Hessen), Kreisstadt;28719;e;50,18;e;572;e
;064400009009;Gedern, Stadt;6730;e;75,24;e;89;e
;064400010010;Glauburg;3093;e;12,67;e;244;e
;064400011011;Hirzenhain;2718;e;16,11;e;169;e
;064400012012;Karben, Stadt;22361;e;43,94;e;509;e
;064400013013;Kefenrod;2635;e;30,67;e;86;e
;064400014014;Limeshain;5599;e;12,50;e;448;e
;064400015015;Münzenberg, Stadt;5660;e;31,63;e;179;e
;064400016016;Nidda, Stadt;17100;e;118,33;e;145;e
;064400017017;Niddatal, Stadt;9883;e;40,25;e;246;e
;064400018018;Ober-Mörlen;5699;e;37,65;e;151;e
;064400019019;Ortenberg, Stadt;8606;e;54,70;e;157;e
;064400020020;Ranstadt;5311;e;34,26;e;155;e
;064400021021;Reichelsheim (Wetterau), Stadt;6844;e;27,56;e;248;e
;064400022022;Rockenberg;4173;e;16,14;e;259;e
;064400023023;Rosbach v. d. Höhe, Stadt;12904;e;45,33;e;285;e
;064400024024;Wölfersheim;9424;e;43,11;e;219;e
;064400025025;Wöllstadt;6552;e;15,38;e;426;e
;065310001001;Allendorf (Lumda), Stadt;3774;e;22,05;e;171;e
;065310002002;Biebertal;9882;e;43,94;e;225;e
;065310003003;Buseck;12273;e;38,61;e;318;e
;065310004004;Fernwald;6922;e;21,57;e;321;e
;065310005005;Gießen, Universitätsstadt;87217;e;72,61;e;1201;e
;065310006006;Grünberg, Stadt;13713;e;89,22;e;154;e
;065310007007;Heuchelheim a. d. Lahn;7614;e;10,58;e;720;e
;065310008008;Hungen, Stadt;12667;e;86,78;e;146;e
;065310009009;Langgöns;11045;e;52,53;e;210;e
;065310010010;Laubach, Stadt;9743;e;97,01;e;100;e
;065310011011;Lich, Stadt;13982;e;77,61;e;180;e
;065310012012;Linden, Stadt;13027;e;22,77;e;572;e
;065310013013;Lollar, Stadt;10046;e;21,39;e;470;e
;065310014014;Pohlheim, Stadt;17421;e;38,00;e;458;e
;065310015015;Rabenau;4845;e;43,40;e;112;e
;065310016016;Reiskirchen;10334;e;44,99;e;230;e
;065310017017;Staufenberg, Stadt;8197;e;28,58;e;287;e
;065310018018;Wettenberg;12003;e;42,92;e;280;e
;065320001001;Aßlar, Stadt;14288;e;43,57;e;328;e
;065320002002;Bischoffen;3211;e;35,37;e;91;e
;065320003003;Braunfels, Stadt;10921;e;47,28;e;231;e
;065320004004;Breitscheid (Landkreis Lahn-Dill-Kreis);4631;e;31,71;e;146;e
;065320005005;Dietzhölztal;5457;e;37,47;e;146;e
;065320006006;Dillenburg, Oranienstadt;23003;e;83,76;e;275;e
;065320007007;Driedorf;5022;e;47,56;e;106;e
;065320008008;Ehringshausen;9332;e;45,43;e;205;e
;065320009009;Eschenburg;9902;e;45,78;e;216;e
;065320010010;Greifenstein;6578;e;67,40;e;98;e
;065320011011;Haiger, Stadt;19105;e;106,73;e;179;e
;065320012012;Herborn, Stadt;20084;e;63,76;e;315;e
;065320013013;Hohenahr;4825;e;45,71;e;106;e
;065320014014;Hüttenberg;10601;e;40,74;e;260;e
;065320015015;Lahnau;8162;e;23,94;e;341;e
;065320016016;Leun, Stadt;5681;e;28,66;e;198;e
;065320017017;Mittenaar;4596;e;35,14;e;131;e
;065320018018;Schöffengrund;6522;e;34,11;e;191;e
;065320019019;Siegbach;2490;e;29,03;e;86;e
;065320020020;Sinn;6390;e;18,73;e;341;e
;065320021021;Solms, Stadt;13450;e;34,02;e;395;e
;065320022022;Waldsolms;4605;e;44,75;e;103;e
;065320023023;Wetzlar, Stadt;53116;e;75,65;e;702;e
;065330001001;Beselich;5708;e;31,54;e;181;e
;065330002002;Brechen;6385;e;24,86;e;257;e
;065330003003;Bad Camberg, Stadt;14403;e;54,60;e;264;e
;065330004004;Dornburg;8407;e;33,23;e;253;e
;065330005005;Elbtal;2446;e;11,11;e;220;e
;065330006006;Elz;8001;e;16,86;e;475;e
;065330007007;Hadamar, Stadt;13090;e;40,99;e;319;e
;065330008008;Hünfelden;9754;e;62,69;e;156;e
;065330009009;Limburg a. d. Lahn, Kreisstadt;35617;e;45,16;e;789;e
;065330010010;Löhnberg;4606;e;33,84;e;136;e
;065330011011;Mengerskirchen, Marktflecken;5724;e;30,82;e;186;e
;065330012012;Merenberg, Marktflecken;3194;e;23,09;e;138;e
;065330013013;Runkel, Stadt;9535;e;43,71;e;218;e
;065330014014;Selters (Taunus);8109;e;40,47;e;200;e
;065330015015;Villmar, Marktflecken;6744;e;43,10;e;156;e
;065330016016;Waldbrunn (Westerwald);5832;e;29,77;e;196;e
;065330017017;Weilburg, Stadt;12751;e;57,51;e;222;e
;065330018018;Weilmünster, Marktflecken;8766;e;77,42;e;113;e
;065330019019;Weinbach;4207;e;37,67;e;112;e
;065340001001;Amöneburg, Stadt;4944;e;43,90;e;113;e
;065340002002;Angelburg;3443;e;16,73;e;206;e
;065340003003;Bad Endbach;7917;e;39,85;e;199;e
;065340004004;Biedenkopf, Stadt;12930;e;90,31;e;143;e
;065340005005;Breidenbach;6729;e;44,83;e;150;e
;065340006006;Cölbe;6549;e;26,68;e;245;e
;065340007007;Dautphetal;11379;e;72,02;e;158;e
;065340008008;Ebsdorfergrund;9005;e;72,87;e;124;e
;065340009009;Fronhausen;4052;e;27,87;e;145;e
;065340010010;Gladenbach, Stadt;12310;e;72,28;e;170;e
;065340011011;Kirchhain, Stadt;16211;e;90,95;e;178;e
;065340012012;Lahntal;6976;e;40,50;e;172;e
;065340013013;Lohra;5707;e;49,16;e;116;e
;065340014014;Marburg, Universitätsstadt;72768;e;123,91;e;587;e
;065340015015;Münchhausen;3222;e;41,54;e;78;e
;065340016016;Neustadt (Hessen), Stadt;8953;e;56,86;e;157;e
;065340017017;Rauschenberg, Stadt;4316;e;67,32;e;64;e
;065340018018;Stadtallendorf, Stadt;21101;e;78,24;e;270;e
;065340019019;Steffenberg;3856;e;24,30;e;159;e
;065340020020;Weimar (Lahn);7207;e;47,05;e;153;e
;065340021021;Wetter (Hessen), Stadt;8966;e;104,53;e;86;e
;065340022022;Wohratal;2123;e;30,67;e;69;e
;065350001001;Alsfeld, Stadt;15276;e;129,71;e;118;e
;065350002002;Antrifttal;1762;e;26,59;e;66;e
;065350003003;Feldatal;2228;e;55,69;e;40;e
;065350004004;Freiensteinau;2970;e;65,66;e;45;e
;065350005005;Gemünden (Felda);2648;e;55,00;e;48;e
;065350006006;Grebenau, Stadt;2271;e;55,34;e;41;e
;065350007007;Grebenhain;4421;e;91,62;e;48;e
;065350008008;Herbstein, Stadt;4603;e;79,98;e;58;e
;065350009009;Homberg (Ohm), Stadt;7014;e;88,04;e;80;e
;065350010010;Kirtorf, Stadt;3135;e;79,91;e;39;e
;065350011011;Lauterbach (Hessen), Kreisstadt;12948;e;101,98;e;127;e
;065350012012;Lautertal (Vogelsberg);2182;e;53,60;e;41;e
;065350013013;Mücke;9277;e;86,23;e;108;e
;065350014014;Romrod, Stadt;2579;e;54,43;e;47;e
;065350015015;Schlitz, Stadt;9109;e;142,06;e;64;e
;065350016016;Schotten, Stadt;9674;e;133,56;e;72;e
;065350017017;Schwalmtal (Landkreis Vogelsbergkreis);2694;e;54,36;e;50;e
;065350018018;Ulrichstein, Stadt;2748;e;65,61;e;42;e
;065350019019;Wartenberg;3475;e;39,54;e;88;e
;066110000000;Kassel, documenta-Stadt;195012;e;106,79;e;1826;e
;066310001001;Bad Salzschlirf;3433;e;13,06;e;263;e
;066310002002;Burghaun, Marktgemeinde;6286;e;65,04;e;97;e
;066310003003;Dipperz;3578;e;30,04;e;119;e
;066310004004;Ebersburg;4650;e;37,05;e;126;e
;066310005005;Ehrenberg (Rhön);2594;e;40,84;e;64;e
;066310006006;Eichenzell;11689;e;55,99;e;209;e
;066310007007;Eiterfeld, Marktgemeinde;7014;e;89,83;e;78;e
;066310008008;Flieden;8532;e;49,65;e;172;e
;066310009009;Fulda, Stadt;64688;e;104,05;e;622;e
;066310010010;Gersfeld (Rhön), Stadt;5253;e;89,34;e;59;e
;066310011011;Großenlüder;8592;e;73,93;e;116;e
;066310012012;Hilders, Marktgemeinde;4803;e;70,37;e;68;e
;066310013013;Hofbieber;6078;e;87,26;e;70;e
;066310014014;Hosenfeld;4477;e;50,73;e;88;e
;066310015015;Hünfeld, Konrad-Zuse-Stadt;16756;e;119,75;e;140;e
;066310016016;Kalbach;6411;e;70,63;e;91;e
;066310017017;Künzell;16975;e;30,28;e;561;e
;066310018018;Neuhof (Landkreis Fulda);10741;e;90,28;e;119;e
;066310019019;Nüsttal;2827;e;45,49;e;62;e
;066310020020;Petersberg (Landkreis Fulda);15879;e;35,51;e;447;e
;066310021021;Poppenhausen (Wasserkuppe);2696;e;40,77;e;66;e
;066310022022;Rasdorf, Point-Alpha-Gemeinde;1554;e;30,08;e;52;e
;066310023023;Tann (Rhön), Stadt;4447;e;60,45;e;74;e
;066320001001;Alheim;4800;e;63,84;e;75;e
;066320002002;Bad Hersfeld, Kreisstadt;30635;e;73,87;e;415;e
;066320003003;Bebra, Stadt;13262;e;93,71;e;142;e
;066320004004;Breitenbach a. Herzberg;1698;e;42,43;e;40;e
;066320005005;Cornberg;1294;e;23,36;e;55;e
;066320006006;Friedewald (Landkreis Hersfeld-Rotenburg);2570;e;39,64;e;65;e
;066320007007;Hauneck;3159;e;17,75;e;178;e
;066320008008;Haunetal, Marktgemeinde;2850;e;54,94;e;52;e
;066320009009;Heringen (Werra), Stadt;6880;e;61,20;e;112;e
;066320010010;Hohenroda;2967;e;35,75;e;83;e
;066320011011;Kirchheim (Landkreis Hersfeld-Rotenburg);3602;e;50,61;e;71;e
;066320012012;Ludwigsau;5511;e;112,05;e;49;e
;066320013013;Nentershausen (Landkreis Hersfeld-Rotenburg);2533;e;57,05;e;44;e
;066320014014;Neuenstein;2996;e;64,80;e;46;e
;066320015015;Niederaula, Marktgemeinde;5188;e;64,16;e;81;e
;066320016016;Philippsthal (Werra), Marktgemeinde;3981;e;21,31;e;187;e
;066320017017;Ronshausen;2294;e;37,63;e;61;e
;066320018018;Rotenburg a. d. Fulda, Stadt;12981;e;79,97;e;162;e
;066320019019;Schenklengsfeld;4261;e;63,75;e;67;e
;066320020020;Wildeck;4791;e;39,93;e;120;e
;066330001001;Ahnatal;7687;e;18,03;e;426;e
;066330002002;Bad Karlshafen, Stadt;3354;e;14,85;e;226;e
;066330003003;Baunatal, Stadt;27734;e;38,27;e;725;e
;066330004004;Breuna;3354;e;40,50;e;83;e
;066330005005;Calden;6859;e;54,85;e;125;e
;066330006006;Bad Emstal;5658;e;38,68;e;146;e
;066330007007;Espenau;4963;e;13,60;e;365;e
;066330008008;Fuldabrück;8545;e;17,86;e;478;e
;066330009009;Fuldatal;12191;e;33,67;e;362;e
;066330010010;Grebenstein, Stadt;5390;e;49,84;e;108;e
;066330011011;Habichtswald;5083;e;28,21;e;180;e
;066330012012;Helsa;5274;e;25,76;e;205;e
;066330013013;Hofgeismar, Stadt;14388;e;86,37;e;167;e
;066330014014;Immenhausen, Stadt;6893;e;28,54;e;242;e
;066330015015;Kaufungen;12854;e;26,15;e;492;e
;066330016016;Liebenau, Stadt;2967;e;48,88;e;61;e
;066330017017;Lohfelden;13853;e;16,58;e;836;e
;066330018018;Naumburg, Stadt;4982;e;66,32;e;75;e
;066330019019;Nieste;1948;e;4,06;e;480;e
;066330020020;Niestetal;11003;e;22,16;e;497;e
;066330022022;Reinhardshagen;4199;e;12,99;e;323;e
;066330023023;Schauenburg;10338;e;30,87;e;335;e
;066330024024;Söhrewald;4519;e;58,96;e;77;e
;066330025025;Trendelburg, Stadt;4848;e;69,37;e;70;e
;066330026026;Vellmar, Stadt;17481;e;13,97;e;1251;e
;066330028028;Wolfhagen, Hans-Staden-Stadt;12626;e;112,29;e;112;e
;066330029029;Zierenberg, Stadt;6141;e;86,55;e;71;e
;066330030030;Wesertal;4803;e;52,65;e;91;e
;066340001001;Borken (Hessen), Stadt;12280;e;82,46;e;149;e
;066340002002;Edermünde;7421;e;25,85;e;287;e
;066340003003;Felsberg, Stadt;10377;e;83,32;e;125;e
;066340004004;Frielendorf, Marktflecken;7135;e;85,84;e;83;e
;066340005005;Fritzlar, Dom- und Kaiserstadt;14254;e;88,81;e;160;e
;066340006006;Gilserberg;2907;e;61,55;e;47;e
;066340007007;Gudensberg, Stadt;9771;e;46,49;e;210;e
;066340008008;Guxhagen;5291;e;26,19;e;202;e
;066340009009;Homberg (Efze), Reformationsstadt, Kreisstadt;14212;e;100,11;e;142;e
;066340010010;Jesberg;2171;e;49,79;e;44;e
;066340011011;Knüllwald;4412;e;100,67;e;44;e
;066340012012;Körle;3032;e;17,51;e;173;e
;066340013013;Malsfeld;3845;e;34,52;e;111;e
;066340014014;Melsungen, Stadt;13734;e;63,09;e;218;e
;066340015015;Morschen;3178;e;47,92;e;66;e
;066340016016;Neuental;3023;e;38,67;e;78;e
;066340017017;Neukirchen, Stadt;6749;e;66,25;e;102;e
;066340018018;Niedenstein, Stadt;5415;e;30,61;e;177;e
;066340019019;Oberaula;3257;e;44,01;e;74;e
;066340020020;Ottrau;2197;e;48,50;e;45;e
;066340021021;Schrecksbach;2939;e;36,61;e;80;e
;066340022022;Schwalmstadt, Konfirmationsstadt;18105;e;84,79;e;214;e
;066340023023;Schwarzenborn, Stadt;1109;e;26,90;e;41;e
;066340024024;Spangenberg, Liebenbachstadt;5928;e;97,71;e;61;e
;066340025025;Wabern;7364;e;51,41;e;143;e
;066340026026;Willingshausen;4687;e;59,97;e;78;e
;066340027027;Bad Zwesten;3794;e;39,45;e;96;e
;066350001001;Allendorf (Eder);5559;e;41,79;e;133;e
;066350002002;Bad Arolsen, Stadt;15862;e;126,47;e;125;e
;066350003003;Bad Wildungen, Stadt;17398;e;120,10;e;145;e
;066350004004;Battenberg (Eder), Stadt;5444;e;64,71;e;84;e
;066350005005;Bromskirchen;1865;e;35,22;e;53;e
;066350006006;Burgwald;4983;e;41,30;e;121;e
;066350007007;Diemelsee;4529;e;121,59;e;37;e
;066350008008;Diemelstadt, Stadt;5101;e;82,55;e;62;e
;066350009009;Edertal, Nationalparkgemeinde;6181;e;115,65;e;53;e
;066350010010;Frankenau, Nationalparkstadt;2809;e;57,29;e;49;e
